,PM2.5,year,month,day,hour,PM10,SR,WS,WD,NO,NO2,SO2,Ozone,CO,Benzene,NH3,NOx
0,90.0,2018.0,6.0,1.0,0.0,293.0,203.12,,57.45,18.32,50.62,8.03,3.27,0.97,0.0,88.45,41.6
1,94.0,2018.0,6.0,1.0,1.0,284.75,207.25,,41.95,17.18,49.82,7.98,3.6,0.99,0.0,86.42,40.25
2,101.75,2018.0,6.0,1.0,2.0,274.75,213.05,,66.57,15.53,45.8,7.9,9.0,0.96,0.0,80.62,36.77
3,69.5,2018.0,6.0,1.0,3.0,243.0,224.45,,57.12,18.35,49.45,7.65,5.5,0.85,0.0,88.0,40.97
4,60.0,2018.0,6.0,1.0,4.0,221.75,220.88,,44.7,19.58,50.38,8.05,3.35,0.81,0.0,88.27,42.43
5,65.0,2018.0,6.0,1.0,5.0,191.75,226.9,,60.4,22.9,48.7,8.42,2.85,0.78,0.0,88.35,44.2
6,69.0,2018.0,6.0,1.0,6.0,285.0,252.67,,33.72,21.72,47.9,7.9,3.27,0.7,0.0,88.05,42.85
7,57.25,2018.0,6.0,1.0,7.0,276.75,282.4,,48.53,19.75,49.27,7.72,3.27,0.68,0.0,88.03,42.0
8,49.0,2018.0,6.0,1.0,8.0,228.75,316.1,,40.47,19.0,49.17,7.48,3.28,0.68,0.16333334,87.78,41.38
9,47.0,2018.0,6.0,1.0,9.0,197.25,345.53,,41.6,15.0,50.98,7.48,3.27,0.72,0.32666668,87.62,39.1
10,59.0,2018.0,6.0,1.0,10.0,227.0,371.72,,41.32,17.7,51.33,7.8,2.88,0.77,0.49,88.52,41.43
11,56.0,2018.0,6.0,1.0,11.0,227.0,382.18,,63.7,17.42,52.65,7.8,3.05,0.77,0.65333337,88.08,41.97
12,49.25,2018.0,6.0,1.0,12.0,235.0,376.08,,55.68,12.02,53.87,7.15,3.95,0.72,0.81666666,87.67,38.28
13,57.75,2018.0,6.0,1.0,13.0,232.0,341.15,,37.33,9.03,53.43,6.85,4.7,0.71,0.98,87.08,35.62
14,55.0,2018.0,6.0,1.0,14.0,236.75,278.45,,23.85,6.6,52.87,6.78,5.08,0.7,1.78,87.2,33.4
15,56.75,2018.0,6.0,1.0,15.0,230.25,295.12,,44.22,6.25,53.58,6.95,4.78,0.69,1.31,86.9,33.48
16,55.0,2018.0,6.0,1.0,16.0,260.0,249.55,,20.18,8.22,54.02,7.45,3.43,0.69,1.16,87.32,35.3
17,51.0,2018.0,6.0,1.0,17.0,254.25,216.4,,20.95,10.15,54.18,7.2,3.45,0.68,1.45,86.98,36.92
18,54.0,2018.0,6.0,1.0,18.0,269.75,207.15,,44.35,7.65,53.73,7.0,4.22,0.67,1.49,86.83,34.67
19,57.0,2018.0,6.0,1.0,19.0,345.5,212.45,,60.77,9.38,52.93,7.68,3.68,0.69,1.61,87.22,35.68
20,67.0,2018.0,6.0,1.0,20.0,416.75,301.25,,80.83,3.5,53.68,6.48,6.15,0.51,2.1,86.6,31.38
21,280.0,2018.0,6.0,1.0,21.0,330.625,253.2,,69.55,3.82,53.3,6.83,5.77,0.42,1.04,86.78,31.37
22,34.25,2018.0,6.0,1.0,22.0,244.5,225.12,,22.7,9.5,53.52,7.3,3.3,0.42,0.76,87.3,36.08
23,36.0,2018.0,6.0,1.0,23.0,188.75,205.58,,14.5,11.0,52.5,6.88,3.47,0.44,1.16,87.38,36.73
24,34.0,2018.0,6.0,2.0,0.0,166.75,209.88,,14.12,12.5,52.8,7.17,3.43,0.47,1.21,87.67,38.1
25,25.25,2018.0,6.0,2.0,1.0,118.75,213.08,,17.15,12.35,50.73,7.25,3.52,0.47,1.39,87.6,36.88
26,27.0,2018.0,6.0,2.0,2.0,94.75,206.27,,13.78,12.53,51.3,7.6,3.57,0.46,1.49,87.55,37.3
27,29.0,2018.0,6.0,2.0,3.0,80.0,204.67,,13.45,16.05,51.57,7.77,2.95,0.48,1.04,88.07,39.7
28,20.25,2018.0,6.0,2.0,4.0,70.0,203.33,,14.22,18.32,51.58,8.35,2.75,0.46,1.13,87.9,42.1
29,27.0,2018.0,6.0,2.0,5.0,77.25,207.75,,13.83,16.25,50.92,7.88,3.4,0.44,1.6,87.55,40.1
30,29.0,2018.0,6.0,2.0,6.0,90.0,223.52,,17.28,15.65,50.97,7.77,3.6,0.45,1.51,87.65,39.63
31,37.75,2018.0,6.0,2.0,7.0,110.25,255.22,,16.85,16.95,49.88,7.67,3.6,0.5,1.54,88.2,40.07
32,34.0,2018.0,6.0,2.0,8.0,123.25,291.38,,21.25,16.5,50.57,7.75,3.65,0.55,1.49,88.12,40.12
33,38.0,2018.0,6.0,2.0,9.0,137.0,331.53,,16.88,20.72,50.92,8.05,3.02,0.61,0.99,88.38,43.65
34,35.25,2018.0,6.0,2.0,10.0,145.0,352.33,,18.0,17.62,51.8,7.88,3.15,0.63,1.12,88.25,41.68
35,42.75,2018.0,6.0,2.0,11.0,170.0,369.48,,18.07,11.52,53.45,7.2,3.97,0.62,1.14,87.25,37.6
36,37.0,2018.0,6.0,2.0,12.0,181.0,361.58,,21.83,8.75,53.95,6.98,4.45,0.6,1.14,87.0,35.7
37,39.0,2018.0,6.0,2.0,13.0,185.25,344.53,,34.02,4.95,53.18,7.13,11.25,0.57,1.18,86.75,32.22
38,41.75,2018.0,6.0,2.0,14.0,205.0,291.62,,28.7,1.93,48.78,7.67,26.9,0.51,0.48,85.8,27.28
39,37.25,2018.0,6.0,2.0,15.0,215.25,288.65,,26.43,3.0,49.17,7.07,7.38,0.55,0.0,86.5,28.52
40,42.75,2018.0,6.0,2.0,16.0,230.0,258.48,,23.07,3.85,49.43,7.1,8.05,0.61,1.71,84.42,29.35
41,42.0,2018.0,6.0,2.0,17.0,237.0,223.47,,23.4,4.02,31.97,6.75,11.23,0.56,0.0,36.05,20.25
42,48.75,2018.0,6.0,2.0,18.0,244.0,208.35,,28.85,5.02,30.8,6.5,12.63,0.57,0.0,35.85,20.37
43,49.0,2018.0,6.0,2.0,19.0,260.75,210.27,,50.72,5.25,31.65,6.7,7.82,0.6,1.87,36.47,21.02
44,48.0,2018.0,6.0,2.0,20.0,232.75,210.18,,62.35,7.43,32.42,7.1,4.78,0.67,0.0,36.57,23.17
45,55.0,2018.0,6.0,2.0,21.0,208.5,218.75,,35.63,10.78,31.38,7.32,3.95,0.7,0.0,36.87,25.33
46,49.25,2018.0,6.0,2.0,22.0,155.75,215.75,,20.07,10.35,32.5,7.07,13.52,0.73,0.0,36.62,25.55
47,50.0,2018.0,6.0,2.0,23.0,136.0,217.4,,13.55,10.65,31.3,6.88,11.8,0.73,0.0,36.5,25.17
48,40.25,2018.0,6.0,3.0,0.0,112.0,215.13,,23.38,9.4,31.2,6.93,5.43,0.7,0.0,36.77,24.1
49,43.0,2018.0,6.0,3.0,1.0,119.0,214.77,,20.4,9.97,30.7,6.98,6.75,0.66,0.0,36.68,24.3
50,40.0,2018.0,6.0,3.0,2.0,110.75,215.42,,17.25,12.28,30.7,7.28,4.18,0.65,0.0,37.62,26.15
51,34.25,2018.0,6.0,3.0,3.0,83.25,209.72,,21.67,12.5,30.02,7.35,2.67,0.61,0.0,37.0,25.97
52,37.0,2018.0,6.0,3.0,4.0,97.0,211.75,,31.32,12.0,29.7,7.02,3.25,0.57,0.0,36.7,25.4
53,42.75,2018.0,6.0,3.0,5.0,113.75,219.67,,71.25,13.08,29.8,7.1,4.2,0.63,0.0,36.68,26.3
54,93.5,2018.0,6.0,3.0,6.0,192.75,250.83,,69.85,11.95,28.9,7.1,2.95,0.68,1.74,36.55,24.92
55,80.25,2018.0,6.0,3.0,7.0,181.75,292.22,,48.28,10.63,28.73,7.23,2.8,0.71,2.84,37.0,23.78
56,54.25,2018.0,6.0,3.0,8.0,152.0,329.22,,53.78,11.67,29.12,7.35,2.62,0.67,2.21,37.25,24.88
57,50.0,2018.0,6.0,3.0,9.0,147.5,352.75,,48.72,10.97,29.92,7.0,2.97,0.65,1.48,36.45,24.7
58,53.0,2018.0,6.0,3.0,10.0,179.0,372.67,,29.35,8.18,30.93,6.67,5.15,0.63,0.0,36.57,22.97
59,46.0,2018.0,6.0,3.0,11.0,166.75,381.7,,42.0,5.98,32.13,6.73,9.47,0.63,0.0,36.35,21.88
60,58.75,2018.0,6.0,3.0,12.0,161.75,369.63,,19.17,5.55,31.78,6.82,11.83,0.61,0.0,36.33,21.33
61,54.0,2018.0,6.0,3.0,13.0,143.0,336.3,,25.7,5.77,30.85,6.88,8.38,0.61,0.0,36.02,21.08
62,45.25,2018.0,6.0,3.0,14.0,153.0,289.63,,33.23,6.8,30.55,7.02,4.83,0.59,0.0,36.7,21.7
63,49.0,2018.0,6.0,3.0,15.0,161.0,280.3,,29.18,6.33,32.23,6.8,4.57,0.59,0.0,36.02,22.22
64,48.0,2018.0,6.0,3.0,16.0,177.25,254.8,,19.32,5.83,32.72,6.55,5.77,0.58,0.0,36.07,22.05
65,51.0,2018.0,6.0,3.0,17.0,194.0,212.8,,18.68,4.8,32.55,6.57,6.35,0.6,0.0,35.95,21.1
66,46.0,2018.0,6.0,3.0,18.0,189.5,204.88,,49.05,6.05,31.78,6.67,6.92,0.62,0.0,36.82,21.7
67,51.0,2018.0,6.0,3.0,19.0,238.25,206.42,,64.82,7.1,32.32,7.17,4.0,0.65,0.0,37.2,22.9
68,44.25,2018.0,6.0,3.0,20.0,249.75,212.27,,51.88,8.5,31.72,7.33,3.05,0.66,0.0,37.28,23.68
69,60.75,2018.0,6.0,3.0,21.0,219.0,204.62,,24.5,8.45,33.4,7.02,3.52,0.79,0.0,36.7,24.53
70,88.5,2018.0,6.0,3.0,22.0,241.25,206.03,,37.87,11.7,32.6,7.33,4.27,0.98,0.0,36.7,26.7
71,85.0,2018.0,6.0,3.0,23.0,260.0,211.88,,23.48,10.97,31.57,7.33,9.27,1.02,0.0,36.73,25.53
72,86.0,2018.0,6.0,4.0,0.0,241.25,217.17,,19.05,11.75,30.57,7.3,40.4,0.92,0.0,37.05,25.68
73,51.5,2018.0,6.0,4.0,1.0,148.75,212.55,,13.5,14.28,30.85,7.48,16.85,0.84,0.0,37.38,27.85
74,40.25,2018.0,6.0,4.0,2.0,123.0,212.53,,13.43,14.05,30.75,7.65,6.23,0.76,0.0,37.07,27.6
75,43.0,2018.0,6.0,4.0,3.0,130.0,214.02,,13.67,13.58,29.88,7.35,2.0,0.68,0.0,36.9,26.78
76,43.0,2018.0,6.0,4.0,4.0,127.0,215.07,,14.0,12.93,30.05,7.33,0.33,0.64,0.0,36.9,26.33
77,39.25,2018.0,6.0,4.0,5.0,112.5,216.0,,14.75,12.72,30.12,7.48,0.24000001,0.6,0.00054054055,36.78,26.22
78,43.0,2018.0,6.0,4.0,6.0,162.75,231.57,,16.85,14.28,30.38,7.57,0.15,0.62,0.0010810811,37.35,27.57
79,32.25,2018.0,6.0,4.0,7.0,141.25,268.9,,16.32,18.35,31.2,7.88,0.47500002,0.66,0.0016216215,37.8,31.27
80,48.75,2018.0,6.0,4.0,8.0,173.0,304.65,,16.1,17.28,30.5,7.6,0.8,0.67,0.0021621622,37.52,30.03
81,50.0,2018.0,6.0,4.0,9.0,168.25,338.62,,17.85,13.98,31.03,7.33,1.82,0.68,0.0027027025,37.72,27.65
82,57.0,2018.0,6.0,4.0,10.0,182.5,366.38,,16.35,11.78,32.12,7.17,2.42,0.7,0.003243243,36.93,26.55
83,49.0,2018.0,6.0,4.0,11.0,209.0,376.65,,17.95,10.62,30.93,7.15,3.05,0.68,0.0037837836,36.9,24.95
84,56.75,2018.0,6.0,4.0,12.0,232.0,366.95,,15.97,10.32,32.23,7.33,2.62,0.68,0.0043243244,37.05,25.38
85,95.5,2018.0,6.0,4.0,13.0,232.25,333.9,,19.78,12.88,31.5,7.57,2.22,0.66,0.004864865,37.2,27.05
86,60.5,2018.0,6.0,4.0,14.0,272.75,283.8,,25.52,10.15,32.7,7.3,2.95,0.64,0.005405405,36.42,25.53
87,74.75,2018.0,6.0,4.0,15.0,583.0,281.98,,18.45,8.32,33.18,7.07,3.82,0.67,0.0059459456,36.45,24.3
88,55.25,2018.0,6.0,4.0,16.0,268.5,248.72,,19.87,7.38,32.1,7.07,4.8,0.67,0.006486486,36.6,22.98
89,57.25,2018.0,6.0,4.0,17.0,359.5,232.95,,40.45,6.15,32.18,7.2,5.0,0.66,0.0070270267,36.52,22.0
90,56.5,2018.0,6.0,4.0,18.0,328.5,224.33,,62.33,8.08,32.48,7.45,3.9,0.64,0.0075675673,36.93,23.75
91,52.25,2018.0,6.0,4.0,19.0,282.5,221.03,,63.53,8.33,31.5,7.45,3.3,0.63,0.008108108,37.3,23.43
92,51.75,2018.0,6.0,4.0,20.0,267.75,213.02,,50.32,6.93,32.67,7.08,3.88,0.65,0.008648649,36.25,22.88
93,62.25,2018.0,6.0,4.0,21.0,243.25,212.5,,42.35,7.62,32.22,7.07,3.95,0.7,0.009189189,36.6,23.25
94,71.25,2018.0,6.0,4.0,22.0,227.5,211.35,,28.5,9.53,31.95,7.25,3.9,0.77,0.00972973,36.7,24.63
95,69.5,2018.0,6.0,4.0,23.0,213.5,212.75,,19.88,10.15,31.42,7.4,9.95,0.79,0.01027027,36.43,24.88
96,52.25,2018.0,6.0,5.0,0.0,162.75,212.23,,18.6,14.15,31.1,7.75,10.08,0.77,0.01081081,37.05,27.88
97,43.25,2018.0,6.0,5.0,1.0,139.0,210.55,,22.5,13.72,29.97,7.73,4.62,0.71,0.011351351,37.07,26.93
98,45.25,2018.0,6.0,5.0,2.0,127.0,212.45,,20.43,13.3,29.95,7.5,3.22,0.66,0.011891891,37.07,26.6
99,48.25,2018.0,6.0,5.0,3.0,121.25,212.83,,17.58,13.48,29.98,7.4,2.22,0.62,0.012432432,37.15,26.72
100,38.0,2018.0,6.0,5.0,4.0,112.0,216.9,,17.6,12.0,30.77,7.38,1.82,0.57,0.012972972,36.57,25.97
101,37.0,2018.0,6.0,5.0,5.0,107.5,213.82,,15.58,13.35,29.72,7.48,1.75,0.56,0.013513513,36.92,26.5
102,41.0,2018.0,6.0,5.0,6.0,109.5,225.07,,18.45,14.65,30.25,7.83,1.4,0.58,0.014054053,37.07,27.8
103,38.25,2018.0,6.0,5.0,7.0,115.5,255.92,,24.67,16.73,29.95,7.77,1.83,0.59,0.014594594,37.35,29.33
104,43.0,2018.0,6.0,5.0,8.0,140.25,292.43,,20.9,14.58,30.55,7.6,2.68,0.62,0.015135135,37.02,27.9
105,65.5,2018.0,6.0,5.0,9.0,158.5,328.5,,16.0,13.62,31.23,7.6,2.98,0.68,0.015675675,36.9,27.5
106,59.75,2018.0,6.0,5.0,10.0,230.0,328.1,,18.07,12.17,31.95,7.38,3.25,0.72,0.016216217,36.77,26.72
107,47.75,2018.0,6.0,5.0,11.0,235.5,352.1,,18.83,11.17,31.72,7.38,3.5,0.73,0.016756756,36.9,25.83
108,50.0,2018.0,6.0,5.0,12.0,203.5,360.7,,25.15,7.8,31.95,7.43,5.65,0.69,0.017297298,36.73,23.2
109,48.25,2018.0,6.0,5.0,13.0,188.0,339.5,,22.88,4.85,32.52,7.2,10.1,0.59,0.017837837,36.12,21.18
110,45.5,2018.0,6.0,5.0,14.0,174.25,306.35,,31.38,6.1,30.18,7.17,9.62,0.57,0.018378379,35.9,20.95
111,53.75,2018.0,6.0,5.0,15.0,189.25,281.4,,33.33,4.95,30.65,6.98,8.65,0.53,0.018918918,36.28,20.22
112,45.25,2018.0,6.0,5.0,16.0,178.75,265.15,,30.88,6.4,31.22,7.0,6.35,0.52,0.01945946,36.27,21.67
113,38.0,2018.0,6.0,5.0,17.0,171.5,230.82,,23.08,9.0,30.65,7.42,4.2,0.55,0.02,36.82,23.53
114,37.0,2018.0,6.0,5.0,18.0,132.5,207.6,,20.65,10.55,30.28,5.75,3.23,0.58,0.02054054,26.1,24.58
115,44.25,2018.0,6.0,5.0,19.0,177.25,200.92,,26.6,11.42,31.87,7.62,3.25,0.63,0.02108108,14.9,26.1
116,55.0,2018.0,6.0,5.0,20.0,225.0,204.45,,54.78,10.4,31.9,7.65,3.3,0.69,0.02162162,11.38,25.3
117,55.25,2018.0,6.0,5.0,21.0,230.0,210.83,,56.42,9.63,31.3,7.6,3.15,0.75,0.022162162,9.73,24.33
118,59.25,2018.0,6.0,5.0,22.0,209.0,212.72,,48.23,10.05,30.75,7.7,3.02,0.79,0.022702701,11.1,24.42
119,65.5,2018.0,6.0,5.0,23.0,194.5,211.37,,29.72,11.75,31.1,7.88,2.85,0.81,0.023243243,13.97,25.95
120,69.0,2018.0,6.0,6.0,0.0,210.75,214.2,,21.25,15.55,31.0,8.1,7.32,0.78,0.023783782,14.88,28.93
121,52.25,2018.0,6.0,6.0,1.0,174.0,218.13,,33.07,13.78,30.3,7.88,4.55,0.71,0.024324324,15.3,27.15
122,54.25,2018.0,6.0,6.0,2.0,167.5,235.6,,61.07,12.9,29.73,7.98,3.85,0.7,0.024864864,12.72,26.15
123,73.5,2018.0,6.0,6.0,3.0,196.0,251.52,,72.32,13.0,29.0,7.85,3.25,0.69,0.025405405,13.48,25.8
124,60.25,2018.0,6.0,6.0,4.0,247.75,260.52,,73.55,13.67,29.62,7.85,2.67,0.61,0.025945945,13.17,26.67
125,40.5,2018.0,6.0,6.0,5.0,225.25,277.62,,80.7,15.1,29.78,7.98,2.2,0.53,0.026486486,15.78,27.93
126,42.5,2018.0,6.0,6.0,6.0,391.75,269.38,,79.12,11.6,30.78,7.45,2.7,0.43,0.027027026,11.2,25.62
127,36.0,2018.0,6.0,6.0,7.0,188.0,263.42,,65.4,8.48,31.22,7.25,3.38,0.4,0.027567567,9.45,23.38
128,30.0,2018.0,6.0,6.0,8.0,91.75,306.28,,58.1,8.75,31.72,7.3,3.9,0.43,0.028108107,10.5,23.85
129,27.5,2018.0,6.0,6.0,9.0,110.0,338.9,,51.53,7.48,32.12,7.28,4.4,0.45,0.028648648,9.57,23.08
130,31.5,2018.0,6.0,6.0,10.0,191.25,332.85,,68.72,8.62,31.85,7.48,3.87,0.45,0.029189188,9.1,23.85
131,29.5,2018.0,6.0,6.0,11.0,145.0,309.45,,55.3,10.3,32.32,7.62,3.07,0.47,0.02972973,14.05,25.42
132,37.75,2018.0,6.0,6.0,12.0,139.0,295.65,,77.23,10.45,31.83,7.38,3.47,0.5,0.03027027,11.88,25.27
133,36.75,2018.0,6.0,6.0,13.0,145.75,306.02,,67.0,8.25,32.5,7.3,4.38,0.5,0.03081081,9.42,23.93
134,41.5,2018.0,6.0,6.0,14.0,149.5,287.9,,69.38,7.27,32.9,7.28,4.45,0.51,0.03135135,8.83,23.35
135,41.75,2018.0,6.0,6.0,15.0,134.5,286.57,,72.25,7.22,32.48,7.38,4.55,0.52,0.03189189,7.48,23.05
136,40.25,2018.0,6.0,6.0,16.0,143.0,267.98,,77.98,8.38,32.4,7.6,3.85,0.54,0.032432433,9.17,23.95
137,47.25,2018.0,6.0,6.0,17.0,143.5,264.05,,83.15,9.88,32.62,7.83,3.5,0.54,0.032972973,15.68,25.28
138,41.75,2018.0,6.0,6.0,18.0,138.25,225.4,,77.55,9.38,31.5,7.52,3.75,0.54,0.033513512,13.37,24.28
139,42.75,2018.0,6.0,6.0,19.0,148.75,227.85,,79.38,9.02,30.72,7.5,4.45,0.55,0.034054052,12.08,23.58
140,35.75,2018.0,6.0,6.0,20.0,126.0,225.6,,81.65,9.15,30.45,7.5,4.12,0.57,0.034594595,9.17,23.53
141,42.0,2018.0,6.0,6.0,21.0,127.5,220.35,,77.4,9.32,31.07,7.6,3.72,0.62,0.035135135,9.1,24.0
142,49.5,2018.0,6.0,6.0,22.0,127.5,231.15,,58.93,12.35,30.72,7.98,3.27,0.71,0.035675675,15.2,26.25
143,56.75,2018.0,6.0,6.0,23.0,140.0,250.23,,69.15,14.97,30.1,8.1,3.32,0.78,0.036216214,14.85,27.97
144,92.75,2018.0,6.0,7.0,0.0,295.5,285.43,,66.52,16.2,28.12,8.12,16.38,0.94,0.036756758,16.65,27.93
145,76.25,2018.0,6.0,7.0,1.0,206.0,258.85,,54.72,16.78,28.02,8.22,49.78,0.98,0.037297297,15.48,28.38
146,85.5,2018.0,6.0,7.0,2.0,194.5,244.17,,64.27,16.62,27.77,8.32,24.53,1.03,0.037837837,15.6,28.07
147,125.0,2018.0,6.0,7.0,3.0,233.0,229.75,,69.18,16.22,28.4,8.42,9.4,1.17,0.038378377,18.35,28.07
148,140.75,2018.0,6.0,7.0,4.0,274.0,236.0,,41.57,20.58,27.5,8.62,3.6,1.2,0.03891892,22.62,31.07
149,94.75,2018.0,6.0,7.0,5.0,195.0,229.05,,57.53,20.47,28.25,8.63,1.45,1.09,0.03945946,16.98,31.42
150,102.0,2018.0,6.0,7.0,6.0,207.5,240.58,,42.98,20.03,27.6,8.73,0.62,1.09,0.04,21.93,30.65
151,135.25,2018.0,6.0,7.0,7.0,275.0,261.15,,20.58,20.27,28.35,8.77,0.48,1.1,0.04054054,15.23,31.3
152,88.0,2018.0,6.0,7.0,8.0,210.25,294.7,,15.03,19.07,28.55,8.6,0.45,1.03,0.04108108,23.12,30.43
153,51.0,2018.0,6.0,7.0,9.0,135.0,327.07,,15.75,18.05,30.35,8.55,0.25,0.97,0.04162162,20.07,30.6
154,41.25,2018.0,6.0,7.0,10.0,128.0,352.58,,21.1,17.83,31.15,8.6,0.25,0.91,0.04216216,18.2,30.82
155,45.25,2018.0,6.0,7.0,11.0,144.5,360.0,,18.32,15.03,32.6,8.3,0.88,0.86,0.0427027,16.9,29.38
156,50.75,2018.0,6.0,7.0,12.0,169.25,360.88,,27.3,10.98,33.93,7.95,2.3,0.8,0.04324324,11.17,26.82
157,68.75,2018.0,6.0,7.0,13.0,179.0,346.82,,38.18,7.62,33.85,7.95,3.75,0.75,0.043783784,9.73,24.12
158,69.25,2018.0,6.0,7.0,14.0,183.75,304.2,,32.78,6.38,33.85,8.0,4.52,0.74,0.044324324,7.4,23.12
159,101.0,2018.0,6.0,7.0,15.0,179.0,277.55,,25.45,8.25,32.17,8.05,3.25,0.72,0.044864863,11.7,23.7
160,77.75,2018.0,6.0,7.0,16.0,183.25,257.15,,38.42,8.6,32.68,7.98,3.12,0.71,0.045405403,10.08,24.28
161,65.75,2018.0,6.0,7.0,17.0,197.25,230.32,,66.95,6.4,33.6,7.7,4.6,0.67,0.045945946,6.73,23.0
162,57.25,2018.0,6.0,7.0,18.0,214.5,208.38,,75.5,5.23,32.92,7.8,4.65,0.62,0.046486486,6.98,21.7
163,58.5,2018.0,6.0,7.0,19.0,233.25,206.05,,76.5,6.57,31.65,7.73,3.85,0.63,0.047027025,7.27,22.1
164,62.75,2018.0,6.0,7.0,20.0,227.0,211.15,,78.55,8.28,31.1,7.95,3.12,0.69,0.047567565,9.48,23.15
165,72.5,2018.0,6.0,7.0,21.0,231.0,214.75,,70.08,10.45,30.02,8.15,2.27,0.78,0.04810811,12.8,24.32
166,75.25,2018.0,6.0,7.0,22.0,220.25,214.38,,54.63,12.4,30.57,7.95,2.5,0.83,0.048648648,10.98,26.17
167,77.5,2018.0,6.0,7.0,23.0,212.0,215.2,,36.8,11.47,30.8,7.88,2.97,0.86,0.049189188,11.45,25.55
168,111.5,2018.0,6.0,8.0,0.0,267.5,211.53,,26.7,11.5,31.62,8.53,15.6,0.94,0.049729727,14.22,26.0
169,79.5,2018.0,6.0,8.0,1.0,208.0,211.68,,20.8,12.47,30.25,8.55,35.72,0.9,0.05027027,14.35,26.08
170,70.25,2018.0,6.0,8.0,2.0,191.25,211.8,,14.15,13.88,29.85,8.5,21.1,0.86,0.05081081,11.55,26.95
171,63.25,2018.0,6.0,8.0,3.0,167.25,215.28,,14.42,16.38,29.35,8.53,6.25,0.84,0.05135135,15.52,28.73
172,62.75,2018.0,6.0,8.0,4.0,162.5,212.8,,11.7,16.0,28.82,8.45,1.98,0.79,0.05189189,16.25,28.15
173,60.0,2018.0,6.0,8.0,5.0,158.75,214.78,,18.85,14.77,29.53,8.42,0.85,0.77,0.052432433,16.0,27.55
174,70.75,2018.0,6.0,8.0,6.0,187.0,226.17,,21.5,14.8,30.3,8.72,0.5,0.83,0.052972972,15.53,27.98
175,80.25,2018.0,6.0,8.0,7.0,211.0,253.4,,16.83,15.8,30.32,8.82,0.15,0.87,0.053513512,16.85,28.78
176,80.5,2018.0,6.0,8.0,8.0,206.75,287.25,,14.75,16.95,29.8,8.82,0.05,0.89,0.05405405,22.05,29.43
177,70.75,2018.0,6.0,8.0,9.0,198.5,312.2,,15.48,18.97,31.15,8.8,0.1,0.92,0.054594595,26.08,31.75
178,75.75,2018.0,6.0,8.0,10.0,223.75,347.7,,15.93,15.22,31.5,8.57,1.07,0.92,0.055135135,15.1,28.95
179,69.75,2018.0,6.0,8.0,11.0,238.5,362.05,,18.73,11.65,32.12,8.5,2.18,0.86,0.055675674,14.2,26.43
180,58.5,2018.0,6.0,8.0,12.0,230.0,353.5,,20.4,8.83,32.67,8.28,2.77,0.81,0.056216214,11.13,24.45
181,66.25,2018.0,6.0,8.0,13.0,280.0,341.25,,21.1,8.35,33.0,8.13,3.12,0.8,0.056756757,10.95,24.22
182,70.0,2018.0,6.0,8.0,14.0,297.5,311.35,,24.82,9.85,32.45,8.2,2.27,0.78,0.057297297,13.55,25.1
183,64.75,2018.0,6.0,8.0,15.0,330.25,298.1,,24.35,11.35,32.25,8.08,2.18,0.73,0.057837836,13.35,26.25
184,60.75,2018.0,6.0,8.0,16.0,285.0,277.22,,34.47,8.65,33.15,7.93,2.9,0.67,0.058378376,11.15,24.55
185,50.25,2018.0,6.0,8.0,17.0,257.25,251.0,,27.7,8.15,32.77,7.93,3.55,0.64,0.05891892,11.02,23.92
186,51.5,2018.0,6.0,8.0,18.0,220.5,230.55,,19.2,8.13,32.03,7.98,3.35,0.64,0.05945946,10.0,23.55
187,45.5,2018.0,6.0,8.0,19.0,194.75,219.02,,13.88,7.93,32.55,8.1,2.97,0.68,0.06,11.58,23.68
188,49.0,2018.0,6.0,8.0,20.0,180.25,216.97,,17.35,12.28,31.08,8.25,2.27,0.73,0.7,15.35,26.35
189,52.0,2018.0,6.0,8.0,21.0,172.5,220.15,,20.2,12.5,30.38,8.3,2.17,0.75,0.99,14.78,26.2
190,50.75,2018.0,6.0,8.0,22.0,162.0,216.98,,23.22,12.0,30.95,8.17,3.07,0.77,1.25,11.95,26.07
191,45.75,2018.0,6.0,8.0,23.0,154.5,220.4,,23.75,11.72,31.4,8.25,3.28,0.77,1.33,9.93,26.1
192,38.25,2018.0,6.0,9.0,0.0,129.75,224.67,,16.67,11.83,30.45,8.17,3.1,0.7,1.32,10.05,25.68
193,36.0,2018.0,6.0,9.0,1.0,107.75,228.1,,16.92,13.7,29.8,8.38,2.65,0.67,1.14,16.45,26.77
194,38.25,2018.0,6.0,9.0,2.0,94.5,231.3,,13.18,15.05,29.78,8.45,2.43,0.65,1.03,18.2,27.85
195,36.0,2018.0,6.0,9.0,3.0,88.75,234.87,,12.75,15.4,29.7,8.22,2.88,0.6,1.03,17.08,28.1
196,39.5,2018.0,6.0,9.0,4.0,102.25,231.42,,20.38,13.02,29.85,8.17,3.23,0.56,0.95,12.45,26.28
197,45.5,2018.0,6.0,9.0,5.0,104.0,235.17,,22.88,11.98,29.27,8.25,3.27,0.57,0.91,10.85,25.18
198,52.75,2018.0,6.0,9.0,6.0,105.25,250.3,,17.85,12.18,28.85,8.33,3.38,0.6,0.94,12.42,25.1
199,47.0,2018.0,6.0,9.0,7.0,113.75,275.3,,15.33,15.43,29.03,8.58,3.18,0.64,0.9,17.47,27.8
200,41.0,2018.0,6.0,9.0,8.0,121.25,313.0,,15.2,17.95,28.75,8.65,2.82,0.66,0.9,20.4,29.65
